Date,Location,Opponent,Result,Score,Record,Time,Attend
9/2/2017,HOME,AKRON ,W,52-0,1-0-0,3:25 ,101684
9/9/2017,HOME,PITT ,W,33-14,2-0-0,3:20 ,109898
9/16/2017,HOME,GEORGIA STATE ,W,56-0,3-0-0,3:19 ,102746
9/23/2017,at,Iowa ,W,21-19,4-0-0,3:31 ,66205
9/30/2017,HOME,INDIANA ,W,45-14,5-0-0,3:16 ,107542
10/7/2017,at,Northwestern ,W,31-7,6-0-0,3:17 ,41061
10/21/2017,HOME,#19 MICHIGAN ,W,42-13,7-0-0,3:16 ,110823
10/28/2017,at,#6 Ohio State ,L ,38-39,7-1-0,3:42 ,109302
11/4/2017,at,#24 Michigan State ,L ,24-27,7-2-0,3:35 ,71605
11/11/2017,HOME,RUTGERS ,W,35-6,8-2-0,2:51 ,107531
11/18/2017,HOME,NEBRASKA ,W,56-44,9-2-0,3:42 ,106722
11/25/2017,at,Maryland ,W,66-3,10-2-0,3:20 ,49680
12/30/2017,vs,#11 Washington ,W,35-28,11-2-0,3:25 ,61842
9/3/2016,HOME,KENT STATE ,W,33-13,1-0-0,3:27 ,94378
9/10/2016,at,Pitt ,L ,39-42,1-1-0,3:44 ,69983
9/17/2016,HOME,TEMPLE ,W,34-27,2-1-0,3:26 ,100420
9/24/2016,at,#4 Michigan ,L ,10-49,2-2-0,3:20 ,110319
10/1/2016,HOME,MINNESOTA ,WO,29-26,3-2-0,3:51 ,95332
10/8/2016,HOME,MARYLAND ,W,38-14,4-2-0,3:13 ,100778
10/22/2016,HOME,#2 OHIO STATE ,W,24-21,5-2-0,3:32 ,107280
10/29/2016,at,Purdue ,W,62-24,6-2-0,3:33 ,33157
11/5/2016,HOME,IOWA ,W,41-14,7-2-0,3:08 ,106194
11/12/2016,at,Indiana ,W,45-31,8-2-0,3:40 ,40678
11/19/2016,at,Rutgers ,W,39-0,9-2-0,3:09 ,51366
11/26/2016,HOME,MICHIGAN STATE ,W,45-12,10-2-0,3:31 ,97418
12/3/2016,vs,#6 Wisconsin ,W,38-31,11-2-0,3:29 ,65018
1/2/2017,vs,#9 USC ,L ,49-52,11-3-0,4:12 ,95128
9/5/2015,at,Temple ,L ,10-27,0-1-0,3:20 ,69176
9/12/2015,HOME,BUFFALO ,W,27-14,1-1-0,3:35 ,93065
9/19/2015,HOME,RUTGERS ,W,28-3,2-1-0,3:18 ,103323
9/26/2015,HOME,SAN DIEGO STATE ,W,37-21,3-1-0,3:27 ,95107
10/3/2015,HOME,ARMY WEST POINT ,W,20-14,4-1-0,2:50 ,107387
10/10/2015,HOME,INDIANA ,W,29-7,5-1-0,3:12 ,97873
10/17/2015,at,#1 Ohio State ,L ,10-38,5-2-0,3:16 ,108423
10/24/2015,at,Maryland ,W,31-30,6-2-0,3:40 ,68948
10/31/2015,HOME,ILLINOIS ,W,39-0,7-2-0,3:27 ,94417
11/7/2015,at,#21 Northwestern ,L ,21-23,7-3-0,3:34 ,34116
11/21/2015,HOME,#13 MICHIGAN ,L ,16-28,7-4-0,3:25 ,107418
11/28/2015,at,#5 Michigan State ,L ,16-55,7-5-0,3:25 ,74705
1/2/2016,vs,UGA ,L ,17-24,7-6-0,3:23 ,58212
8/30/2014,vs,UCF ,W,26-24,1-0-0,3:20 ,53304
9/6/2014,HOME,AKRON ,W,21-3,2-0-0,3;15 ,97354
9/13/2014,at,Rutgers ,W,13-10,3-0-0,3:20 ,53774
9/20/2014,HOME,MASSACHUSETTS ,W,48-7,4-0-0,3:00 ,99155
9/27/2014,HOME,NORTHWESTERN ,L ,6-29,4-1-0,3:26 ,102910
10/11/2014,at,Michigan ,L ,13-18,4-2-0,3:15 ,113085
10/25/2014,HOME,OHIO STATE ,L O,24-31,4-3-0,3:52 ,107895
11/1/2014,HOME,MARYLAND ,L ,19-20,4-4-0,3:33 ,103969
11/8/2014,at,Indiana ,W,13-7,5-4-0,3:28 ,42683
11/15/2014,HOME,TEMPLE ,W,30-13,6-4-0,3:28 ,100173
11/22/2014,at,Illinois ,L ,14-16,6-5-0,3:11 ,35172
11/29/2014,HOME,MICHIGAN STATE ,L ,10-34,6-6-0,3:20 ,99902
12/27/2014,vs,Boston College ,WO,31-30,7-6-0,3:54 ,49012
8/31/2013,vs,Syracuse ,W,23-17,1-0-0,3:34 ,61202
9/7/2013,HOME,EASTERN MICHIGAN ,W,45-7,2-0-0,3:02 ,92863
9/14/2013,HOME,UCF ,L ,31-34,2-1-0,3:04 ,92855
9/21/2013,HOME,KENT STATE ,W,34-0,3-1-0,3:14 ,92371
10/5/2013,at,Indiana ,L ,24-44,3-2-0,3:36 ,42125
10/12/2013,HOME,MICHIGAN ,WO,43-40,4-2-0,4:11 ,107884
10/26/2013,at,#4 Ohio State ,L ,14-63,4-3-0,3:19 ,105889
11/2/2013,HOME,ILLINOIS ,WO,24-17,5-3-0,3:25 ,95131
11/9/2013,at,Minnesota ,L ,10-24,5-4-0,3:06 ,48123
11/16/2013,HOME,PURDUE ,W,45-21,6-4-0,2:56 ,96491
11/23/2013,HOME,NEBRASKA ,L O,20-23,6-5-0,3:28 ,98517
11/30/2013,at,#14 Wisconsin ,W,31-24,7-5-0,3:25 ,78064
9/1/2012,HOME,OHIO ,L ,14-24,0-1-0,3:23 ,97186
9/8/2012,at,Virginia ,L ,16-17,0-2-0,3:25 ,56087
9/15/2012,HOME,NAVY ,W,34-7,1-2-0,2:55 ,98792
9/22/2012,HOME,TEMPLE ,W,24-13,2-2-0,3:17 ,93680
9/29/2012,at,Illinois ,W,35-7,3-2-0,3:24 ,46734
10/6/2012,HOME,NORTHWESTERN ,W,39-28,4-2-0,3:20 ,95769
10/20/2012,at,Iowa ,W,38-14,5-2-0,3:19 ,70585
10/27/2012,HOME,OHIO STATE ,L ,23-35,5-3-0,3:10 ,107818
11/3/2012,at,Purdue ,W,34-9,6-3-0,3:30 ,40098
11/10/2012,at,#18 Nebraska ,L ,23-32,6-4-0,3:33 ,85527
11/17/2012,HOME,INDIANA ,W,45-22,7-4-0,3:26 ,90358
11/24/2012,HOME,WISCONSIN ,WO,24-21,8-4-0,3:32 ,93505
9/3/2011,HOME,INDIANA STATE ,W,41-7,1-0-0,3:03 ,96461
9/10/2011,HOME,ALABAMA ,L ,11-27,1-1-0,3:20 ,107846
9/17/2011,at,Temple ,W,14-10,2-1-0,3:06 ,57323
9/24/2011,HOME,EASTERN MICHIGAN ,W,34-6,3-1-0,3:09 ,95636
10/1/2011,at,Indiana ,W,16-10,4-1-0,3:23 ,42621
10/8/2011,HOME,IOWA ,W,13-3,5-1-0,2:58 ,103497
10/15/2011,HOME,PURDUE ,W,23-18,6-1-0,3:19 ,100820
10/22/2011,at,Northwestern ,W,34-24,7-1-0,3:15 ,40004
10/29/2011,HOME,ILLINOIS ,W,10-7,8-1-0,3:20 ,97828
11/12/2011,HOME,NEBRASKA ,L ,14-17,8-2-0,3:27 ,107903
11/19/2011,at,Ohio State ,W,20-14,9-2-0,2:52 ,105493
11/26/2011,at,#15 Wisconsin ,L ,7-45,9-3-0,3:09 ,79708
1/2/2012,vs,#19 Houston ,L ,14-30,9-4-0,3:30 ,46817
9/4/2010,HOME,YOUNGSTOWN STATE ,W,44-14,1-0-0,2:55 ,101213
9/11/2010,at,#1 Alabama ,L ,3-24,1-1-0,3:03 ,101821
9/18/2010,HOME,KENT STATE ,W,24-0,2-1-0,2:52 ,100610
9/25/2010,HOME,TEMPLE ,W,22-13,3-1-0,3:10 ,104840
10/2/2010,at,#17 Iowa ,L ,3-24,3-2-0,2:56 ,70585
10/9/2010,HOME,ILLINOIS ,L ,13-33,3-3-0,2:58 ,107638
10/23/2010,at,Minnesota ,W,33-21,4-3-0,3:22 ,48479
10/30/2010,HOME,MICHIGAN ,W,41-31,5-3-0,3:13 ,108539
11/6/2010,HOME,NORTHWESTERN ,W,35-21,6-3-0,3:28 ,104147
11/13/2010,at,#8 Ohio State ,L ,14-38,6-4-0,3:05 ,105466
11/20/2010,vs,Indiana ,W,41-24,7-4-0,3:22 ,78790
11/27/2010,HOME,MICHIGAN STATE ,L ,22-28,7-5-0,3:15 ,102649
1/1/2011,vs,Florida ,L ,24-37,7-6-0,3:50 ,60574
9/5/2009,HOME,AKRON ,W,31-7,1-0-0,2:56 ,104968
9/12/2009,HOME,SYRACUSE ,W,28-7,2-0-0,2:51 ,106387
9/19/2009,HOME,TEMPLE ,W,31-6,3-0-0,3:07 ,105514
9/26/2009,HOME,IOWA ,L ,10-21,3-1-0,3:08 ,109316
10/3/2009,at,Illinois ,W,35-17,4-1-0,3:16 ,62870
10/10/2009,HOME,EASTERN ILLINOIS ,W,52-3,5-1-0,2:53 ,104488
10/17/2009,HOME,MINNESOTA ,W,20-0,6-1-0,3:05 ,107981
10/24/2009,at,Michigan ,W,35-10,7-1-0,3:13 ,110377
10/31/2009,at,Northwestern ,W,34-13,8-1-0,2:58 ,30546
11/7/2009,HOME,OHIO STATE ,L ,7-24,8-2-0,3:04 ,110033
11/14/2009,HOME,INDIANA ,W,31-20,9-2-0,3:07 ,107379
11/21/2009,at,Michigan State ,W,42-14,10-2-0,3:13 ,73771
1/1/2010,vs,#12 LSU ,W,19-17,11-2-0,3:26 ,63025
8/30/2008,HOME,COASTAL CAROLINA ,W,66-10,1-0-0,3:00 ,106577
9/6/2008,HOME,OREGON STATE ,W,45-14,2-0-0,3:10 ,108159
9/13/2008,at,Syracuse ,W,55-13,3-0-0,3:19 ,45795
9/20/2008,HOME,TEMPLE ,W,45-3,4-0-0,3:07 ,105106
9/27/2008,HOME,ILLINOIS ,W,38-24,5-0-0,3:09 ,109626
10/4/2008,at,Purdue ,W,20-6,6-0-0,2:49 ,57215
10/11/2008,at,Wisconsin ,W,48-7,7-0-0,3:10 ,81524
10/18/2008,HOME,MICHIGAN ,W,46-17,8-0-0,3:13 ,110017
10/25/2008,at,#9 Ohio State ,W,13-6,9-0-0,2:54 ,105711
11/8/2008,at,Iowa ,L ,23-24,9-1-0,3:03 ,70585
11/15/2008,HOME,INDIANA ,W,34-7,10-1-0,3:03 ,108445
11/22/2008,HOME,MICHIGAN STATE ,W,49-18,11-1-0,3:21 ,109845
1/1/2009,vs,Southern California ,L ,24-38,11-2-0,3:30 ,93293
9/1/2007,HOME,FIU ,W,59-0,1-0-0,3:24 ,107678
9/8/2007,HOME,NOTRE DAME ,W,31-10,2-0-0,3:17 ,110078
9/15/2007,HOME,BUFFALO ,W,45-24,3-0-0,3:13 ,107506
9/22/2007,at,Michigan ,L ,9-14,3-1-0,3:12 ,111310
9/29/2007,at,Illinois ,L ,20-27,3-2-0,3:23 ,57078
10/6/2007,HOME,IOWA ,W,27-7,4-2-0,3:15 ,108951
10/13/2007,HOME,WISCONSIN ,W,38-7,5-2-0,3:09 ,109754
10/20/2007,at,Indiana ,W,36-31,6-2-0,3:32 ,41251
10/27/2007,HOME,OHIO STATE ,L ,17-37,6-3-0,2:59 ,110134
11/3/2007,HOME,PURDUE ,W,26-19,7-3-0,3:24 ,108318
11/10/2007,at,TEMPLE ,W,31-0,8-3-0,3:04 ,69029
11/17/2007,at,Michigan State ,L ,31-35,8-4-0,3:21 ,72251
12/29/2007,vs,Texas A&M ,W,24-17,9-4-0,3:41 ,66166
