Date,Location,Opponent,Result,Time ,Attend 
10/6/2017,at ,CLARKSON ,L ,2:18,2317
10/7/2017,at ,St. Lawrence ,W ,2:23,2758
10/13/2017,at ,#3 MINNESOTA ,W ,2:15,8840
10/15/2017,at ,#7 MINNESOTA ,L ,2:27,8114
10/19/2017,HOME,AMERICAN INT'L ,W ,2:16,6018
10/20/2017,HOME,AMERICAN INT'L ,L ,2:18,6149
10/27/2017,HOME,MICHIGAN ,W ,2:23,6096
10/28/2017,HOME,MICHIGAN ,L ,2:28,6011
11/3/2017,HOME,MERCYHURST ,L ,2:18,5982
11/4/2017,HOME,MERCYHURST ,W ,2:15,6089
11/10/2017,at ,Notre Dame ,L ,2:20,4574
11/11/2017,at ,#6 Notre Dame ,L ,2:12,4160
11/17/2017,at ,ARIZONA STATE ,W ,0.239583333,2842
11/18/2017,at ,ARIZONA STATE ,W ,2:29,3104
11/24/2017,HOME,MICHIGAN STATE ,W ,2:12,5931
11/25/2017,HOME,MICHIGAN STATE ,T ,2:30,5824
12/1/2017,at ,#11 Ohio State ,T ,2:34,4281
12/2/2017,at ,#11 Ohio State ,W ,2:10,3861
12/8/2017,at ,Robert Morris ,W ,2:23,2471
12/9/2017,HOME,ROBERT MORRIS ,W ,2:23,6089
1/5/2018,HOME,#15 WISCONSIN ,W ,2:23,5822
1/6/2018,HOME,#15 WISCONSIN ,T ,2:47,5963
1/12/2018,HOME,#6 OHIO STATE ,W ,2:18,6077
1/13/2018,HOME,#6 OHIO STATE ,L ,2:19,6182
1/19/2018,at ,#20 Michigan ,L ,2:18,5574
1/20/2018,at ,#20 Michigan ,L ,2:19,5800
1/26/2018,at ,#18 Wisconsin ,L ,2:22,9190
1/27/2018,at ,#18 Wisconsin ,T ,2:51,13689
2/2/2018,HOME,#2 NOTRE DAME ,L ,2:25,6229
2/3/2018,HOME,#2 NOTRE DAME ,T ,2:33,6221
2/16/2018,at ,Michigan State ,L ,2:35,5649
2/17/2018,at ,Michigan State ,W ,2:21,6368
2/23/2018,HOME,#8 MINNESOTA ,W ,2:27,6171
2/24/2018,HOME,#8 MINNESOTA ,W ,2:20,6172
3/2/2018,HOME,#15 MINNESOTA ,W ,2:30,4170
3/3/2018,HOME,#11 MINNESOTA ,W ,2:30,5025
3/10/2018,at ,#4 Notre Dame ,L ,2:30,4892
3/24/2018,vs ,#3 Denver ,L ,2:30,7491
10/6/2016,HOME,#16 ST. LAWRENCE ,W ,2:08,5850
10/7/2016,HOME,#16 ST. LAWRENCE ,L ,2:17,5987
10/14/2016,at ,Mercyhurst ,W ,2:30,1892
10/21/2016,at ,#3 Notre Dame ,T ,2:27,3411
10/22/2016,at ,#3 Notre Dame ,W ,2:20,3518
10/28/2016,HOME,CANISIUS ,W ,2:09,5946
10/29/2016,HOME,CANISIUS ,W ,2:18,6089
11/3/2016,HOME,NIAGARA ,W ,2:14,5839
11/4/2016,HOME,NIAGARA ,W ,2:23,6061
11/11/2016,HOME,ALASKA-ANCHORAGE ,W ,2:23,5999
11/12/2016,HOME,ALASKA-ANCHORAGE ,W ,2:13,6069
11/18/2016,HOME,ARIZONA STATE ,W ,2:15,5801
11/19/2016,HOME,ARIZONA STATE ,W ,2:14,5799
12/1/2016,HOME,#20 MICHIGAN ,W ,2:15,5986
12/2/2016,HOME,#20 MICHIGAN ,W ,2:20,6077
1/6/2017,at ,#11 Ohio State ,L ,2:20,4225
1/7/2017,at ,#11 Ohio State ,W ,2:21,4755
1/13/2017,HOME,MICHIGAN STATE ,W ,2:21,6152
1/14/2017,HOME,MICHIGAN STATE ,W ,2:33,6164
1/20/2017,HOME,#11 OHIO STATE ,T ,2:40,6154
1/21/2017,HOME,#11 OHIO STATE ,L ,2:16,6167
1/28/2017,vs ,Princeton ,L ,2:29,15127
2/3/2017,at ,#7 Minnesota ,L ,2:15,9575
2/4/2017,at ,#7 Minnesota ,L ,2:12,9963
2/10/2017,at ,#17 Wisconsin ,W ,2:36,9314
2/11/2017,at ,#17 Wisconsin ,W ,2:15,12669
2/17/2017,HOME,#5 MINNESOTA ,L ,2:21,6137
2/18/2017,HOME,#5 MINNESOTA ,L ,2:28,6140
2/24/2017,at ,Michigan State ,W ,2:32,4501
2/25/2017,at ,Michigan State ,W ,2:30,5420
3/3/2017,HOME,#16 WISCONSIN ,L ,2:28,6043
3/4/2017,HOME,#16 WISCONSIN ,W ,2:18,6053
3/10/2017,at ,Michigan ,L ,2:15,5396
3/11/2017,at ,Michigan ,L ,2:25,5800
3/16/2017,vs ,Michigan ,W ,2:27,3387
3/17/2017,vs ,Minnesota ,W ,3:45,2791
3/18/2017,vs ,Wisconsin ,W ,3:48,5601
3/25/2017,at ,#2 Union ,W ,2:50,3917
3/26/2017,at ,#1 Denver ,L ,2:48,3364
10/10/2015,at ,Canisius ,W ,2:18,1711
10/16/2015,HOME,NOTRE DAME ,L ,2:07,6103
10/17/2015,HOME,NOTRE DAME ,W ,2:15,6150
10/23/2015,HOME,AIC ,W ,2:09,5949
10/24/2015,HOME,AIC ,W ,2:10,5940
10/29/2015,HOME,ST. LAWRENCE ,T ,2:30,5891
10/30/2015,HOME,ST. LAWRENCE ,L ,2:09,6122
11/6/2015,at ,Niagara ,T ,2:25,1350
11/13/2015,HOME,SACRED HEART ,W ,2:14,6089
11/14/2015,HOME,SACRED HEART ,W ,2:18,6217
11/20/2015,at ,Alaska Anchorage ,W ,2:14,1784
11/21/2015,at ,Alaska Anchorage ,T ,2:28,1884
11/29/2015,vs ,Vermont ,W ,2:13,9213
12/4/2015,HOME,MICHIGAN STATE ,W ,2:19,6161
12/5/2015,HOME,MICHIGAN STATE ,W ,2:23,6178
12/11/2015,HOME,PRINCETON ,W ,2:16,6141
12/28/2015,vs ,Robert Morris ,L ,2:28,5269
12/29/2015,vs ,Clarkson ,W ,2:10,4027
1/8/2016,HOME,MINNESOTA ,W ,2:15,6025
1/9/2016,HOME,MINNESOTA ,L ,2:11,6105
1/15/2016,HOME,WISCONSIN ,W ,2:16,6119
1/16/2016,HOME,WISCONSIN ,W ,2:18,6156
1/22/2016,at ,Ohio State ,W ,2:26,5794
1/23/2016,at ,Ohio State ,L ,2:09,6018
1/28/2016,HOME,#6 MICHIGAN ,L ,2:25,6108
1/30/2016,vs ,#6 Michigan ,L ,2:25,13479
2/5/2016,at ,Minnesota ,L ,2:16,10053
2/6/2016,at ,Minnesota ,W ,2:20,10151
2/12/2016,at ,Michigan State ,W ,2:20,5424
2/13/2016,at ,Michigan State ,T ,2:20,6077
2/19/2016,HOME,OHIO STATE ,W ,2:19,6113
2/20/2016,HOME,OHIO STATE ,L ,2:21,6114
3/4/2016,at ,Wisconsin ,W ,2:16,7618
3/5/2016,at ,Wisconsin ,L ,2:20,9895
3/11/2016,at ,#9 Michigan ,L ,2:20,5800
3/12/2016,at ,#9 Michigan ,L ,2:06,5800
3/17/2016,vs ,Wisconsin ,W ,2:17,
10/10/2014,HOME,CONNECTICUT ,T ,2:33,6017
10/11/2014,HOME,CONNECTICUT ,W ,2:15,6016
10/17/2014,vs ,Alaska Anchorage ,T ,2:34,772
10/18/2014,at ,Alaska ,L ,2:21,3584
10/24/2014,HOME,HOLY CROSS ,W ,2:28,6043
10/26/2014,HOME,HOLY CROSS ,W ,2:23,5988
10/30/2014,HOME,BENTLEY ,W ,2:15,5773
10/31/2014,HOME,BENTLEY ,W ,2:15,5974
11/14/2014,at ,#4 UMass Lowell ,L ,2:05,4314
11/15/2014,at ,#4 UMass Lowell ,W ,2:06,4548
11/21/2014,at ,Michigan ,W ,2:24,5415
11/22/2014,at ,Michigan ,L ,2:17,4891
11/29/2014,vs ,Cornell ,L ,2:18,15027
12/5/2014,at ,Wisconsin ,W ,2:16,8957
12/6/2014,at ,Wisconsin ,W ,2:15,10091
12/29/2014,vs ,Robert Morris ,L ,2:15,6252
12/30/2014,vs ,Western Michigan ,L ,2:11,5076
1/9/2015,HOME,OHIO STATE ,L ,2:28,5829
1/10/2015,HOME,OHIO STATE ,W ,2:17,5898
1/16/2015,HOME,MICHIGAN STATE ,T ,2:35,6062
1/17/2015,HOME,MICHIGAN STATE ,W ,2:17,6163
1/23/2015,HOME,NORTHERN MICHIGAN ,W ,2:17,6203
1/24/2015,HOME,NORTHERN MICHIGAN ,T ,2:52,6089
1/31/2015,vs ,#14 Vermont ,W ,2:20,11674
2/6/2015,HOME,WISCONSIN ,W ,2:20,6033
2/7/2015,HOME,WISCONSIN ,W ,2:19,6103
2/13/2015,at ,Michigan State ,L ,2:20,6528
2/14/2015,at ,Michigan State ,L ,2:20,6444
2/20/2015,HOME,#15 MINNESOTA ,L ,2:19,6148
2/21/2015,HOME,#15 MINNESOTA ,W ,2:24,6158
2/27/2015,at ,Ohio State ,L ,2:19,4153
2/28/2015,at ,Ohio State ,L ,2:23,6625
3/6/2015,HOME,MICHIGAN ,W ,2:23,6011
3/7/2015,HOME,MICHIGAN ,W ,2:26,6026
3/13/2015,at ,#15 Minnesota ,L ,2:22,9813
3/14/2015,at ,#15 Minnesota ,L ,2:15,10178
3/19/2015,vs ,Ohio State ,L ,2:08,3465
10/11/2013,HOME,ARMY ,W ,2:23,6370
10/18/2013,at ,Air Force Falcons ,L ,2:10,2519
10/19/2013,at ,Air Force Falcons ,L ,2:20,2189
10/25/2013,HOME,RIT ,T ,2:33,6211
10/26/2013,vs ,Vermont ,L ,2:28,17632
11/1/2013,at ,Robert Morris ,W ,2:20,1352
11/8/2013,HOME,SACRED HEART ,W ,2:23,6042
11/14/2013,HOME,#13 UMASS LOWELL ,L ,2:20,5998
11/15/2013,HOME,#13 UMASS LOWELL ,L ,2:33,6158
11/30/2013,HOME,#15 UNION ,L ,2:16,5877
12/1/2013,HOME,#15 UNION ,L ,2:19,5177
12/6/2013,at ,#17 Wisconsin ,L ,2:10,8945
12/7/2013,at ,#17 Wisconsin ,L ,2:08,10079
12/27/2013,vs ,Robert Morris ,W ,2:08,8533
12/28/2013,vs ,#7 Boston College ,L ,2:12,8222
1/12/2014,HOME,#1 MINNESOTA ,L ,2:14,5999
1/13/2014,HOME,#1 MINNESOTA ,L ,2:21,6154
1/17/2014,at ,Michigan State ,L ,2:10,6397
1/18/2014,at ,Michigan State ,L ,2:12,5972
1/25/2014,HOME,#2 BOSTON COLLEGE ,L ,2:20,6214
1/31/2014,at ,Ohio State ,L ,2:13,6856
2/1/2014,at ,Ohio State ,L ,2:07,5771
2/7/2014,HOME,#10 MICHIGAN ,L ,2:20,6118
2/8/2014,HOME,#10 MICHIGAN ,W ,2:10,6170
2/14/2014,HOME,MICHIGAN STATE ,T ,2:40,6062
2/15/2014,HOME,MICHIGAN STATE ,L ,2:12,6140
2/21/2014,at ,#10 Michigan ,W ,2:30,5800
2/22/2014,at ,#10 Michigan ,L ,2:11,5800
2/28/2014,at ,#2 Minnesota ,L ,2:16,9929
3/1/2014,at ,#2 Minnesota ,L ,2:15,10045
3/7/2014,HOME,#5 WISCONSIN ,L ,2:10,6015
3/8/2014,HOME,#5 WISCONSIN ,L ,2:19,5829
3/14/2014,HOME,OHIO STATE ,L ,2:15,5767
3/15/2014,HOME,OHIO STATE ,W ,2:12,5892
3/20/2014,vs ,#12 Michigan ,W ,3:35,7333
3/21/2014,vs ,#6 Wisconsin ,L ,2:15,7963
10/12/2012,HOME,AMERICAN INT'L ,L ,2:28,1300
10/13/2012,HOME,AMERICAN INT'L ,W ,2:08,5389
10/19/2012,at ,Buffalo State ,L ,2:46,1619
10/20/2012,at ,RIT ,W ,2:17,10556
10/26/2012,at ,ARMY ,W ,2:07,1537
10/27/2012,at ,Sacred Heart ,W ,2:09,466
11/3/2012,HOME,BUFFALO STATE ,W ,2:16,1300
