Date,Opponent,Location,Result,Score-by-set,Attend
8/25/2017,vs UT-Martin,,W,"25-13,25-13,25-8",300
8/26/2017,vs DELAWARE,,W,"25-15,25-16,25-10",300
8/26/2017,at West Virginia,,W,"25-16,25-15,25-5",1332
9/1/2017,vs #1 Stanford,,W,"26-24,25-17,18-25,25-19",800
9/2/2017,at Texas A&M,,W,"24-26,25-19,25-23,24-26,15-12",2095
9/8/2017,vs Colorado,,W,"25-22,25-18,25-21",
9/9/2017,vs #4 Stanford,,W,"24-26,25-22,23-25,25-17,15-11",2470
9/15/2017,YALE,HOME,W,"25-9,25-21,25-11",3678
9/16/2017,WAKE FOREST,HOME,W,"25-16,25-11,25-11",3268
9/16/2017,OHIO,HOME,W,"25-15,25-15,25-19",3268
9/22/2017,#14 NEBRASKA,HOME,L ,"24-26,19-25,20-25",3763
9/23/2017,IOWA,HOME,W,"25-13,25-19,23-25,25-17",2547
9/29/2017,ILLINOIS,HOME,W,"25-19,25-17,26-24",3547
9/30/2017,NORTHWESTERN,HOME,W,"26-24,25-14,25-14",3270
10/6/2017,at Ohio State,,W,"25-13,23-25,28-30,25-9,15-7",3510
10/7/2017,at Maryland,,W,"25-17,25-11,25-23",3545
10/13/2017,#10 MICHIGAN STATE,HOME,W,"25-18,15-25,30-28,25-18",3205
10/14/2017,MICHIGAN,HOME,W,"25-17,25-18,25-14",4610
10/20/2017,at #17 Purdue,,W,"25-22,25-14,21-25,25-10",2415
10/21/2017,at Indiana,,W,"25-21,25-13,25-15",831
10/25/2017,#9 WISCONSIN,HOME,W,"25-19,25-22,23-25,25-16",3123
10/28/2017,at Illinois,,W,"30-28,25-11,25-15",3153
11/1/2017,at #9 Michigan State,,W,"27-25,25-19,25-27,25-21",3675
11/4/2017,RUTGERS,HOME,W,"25-9,25-9,25-12",3762
11/8/2017,at Iowa,,W,"25-10,25-17,25-12",1538
11/11/2017,MARYLAND,HOME,W,"25-14,25-21,25-16",6305
11/15/2017,INDIANA,HOME,W,"25-21,25-16,25-16",2653
11/18/2017,at Rutgers,,W,"25-5,25-9,25-9",1218
11/24/2017,at #11 Wisconsin,,W,"18-25,25-16,25-20,25-20",6012
11/25/2017,at #8 Minnesota,,W,"29-27,25-20,24-26,25-20",5343
12/1/2017,HOWARD,HOME,W,"25-10,22-25,25-15,25-16",3210
12/2/2017,PITT,HOME,W,"25-20,23-25,25-22,25-19",3413
12/8/2017,MISSOURI,HOME,W,"25-17,25-18,25-19",3033
12/9/2017,#12 MICHIGAN STATE,HOME,W,"25-23,25-17,28-26",3521
12/14/2017,vs #5 Nebraska,,L ,"18-25,25-23,26-24,26-28,11-15",19000
8/26/2016,WEST VIRGINIA ,HOME,W ,"25-13,25-13,25-17 ",3231
8/27/2016,GEORGIA SOUTHERN ,HOME,W ,"25-13,25-12,25-7 ",3762
8/27/2016,#19 NORTH CAROLINA ,HOME,L ,"25-16,22-25,25-21,23-25,9-15 ",3762
9/3/2016,at Colorado ,,L ,"25-22,20-25,19-25,25-20,3-15 ",2316
9/4/2016,vs #9 Stanford ,,L ,"24-26,18-25,22-25 ",2022
9/9/2016,vs Siena ,,W ,"25-11,25-10,25-12 ",75
9/10/2016,vs HOFSTRA ,,W ,"25-21,22-25,25-12,25-11 ",100
9/10/2016,at Syracuse ,,W ,"25-22,25-17,25-12 ",1143
9/16/2016,RHODE ISLAND ,HOME,W ,"25-6,25-18,25-13 ",2926
9/17/2016,HOWARD ,HOME,W ,"25-16,25-12,25-16 ",3902
9/17/2016,CLEMSON ,HOME,W ,"25-14,25-17,25-12 ",3902
9/21/2016,at Rutgers ,,W ,"25-17,25-17,25-5 ",574
9/25/2016,at Northwestern ,,W ,"27-25,25-17,25-17 ",1436
9/30/2016,#18 MICHIGAN STATE ,HOME,W ,"25-22,25-20,25-13 ",3524
10/1/2016,#22 MICHIGAN ,HOME,W ,"25-20,25-19,25-15 ",3242
10/5/2016,#1 MINNESOTA ,HOME,W ,"29-27,21-25,23-25,25-14,15-10 ",2749
10/8/2016,RUTGERS ,HOME,W ,"25-13,25-16,25-10 ",5312
10/14/2016,at #22 Purdue ,,W ,"25-18,25-17,25-17 ",2415
10/15/2016,at Indiana ,,W ,"25-16,25-18,25-18 ",1135
10/19/2016,#19 OHIO STATE ,HOME,W ,"25-21,25-20,25-17 ",2779
10/22/2016,at #16 Michigan ,,L ,"23-25,25-17,27-29,25-23,9-15 ",1800
10/28/2016,at #4 Wisconsin ,,L ,"16-25,18-25,25-18,21-25 ",6012
